course_code,course_time,course_instructors,course_enrollment,course_capacity
EECS 598,MoWe10:30AM-12:00PM,"['Sample, Alanson']",0,0
EECS 598,MoWe12:00PM-1:30PM,"['Das, Reetuparna']",48,60
EECS 598,MoWe12:00PM-1:30PM,"['Kim, Hun Seok']",46,60
EECS 598,MoWe1:30PM-3:00PM,"['Hofmann, Heath']",12,16
EECS 598,MoWe3:00PM-4:30PM,"['Balzano, Laura']",30,45
EECS 598,Th10:30AM-12:00PM,"['Fouhey, David Ford', 'Sample, Alanson']",29,1
EECS 598,Th10:30AM-12:00PM,"['Sample, Alanson']",1,0
EECS 598,TuTh10:30AM-12:00PM,"['Bansal, Nikhil']",12,30
EECS 598,TuTh10:30AM-12:00PM,"['Manerkar, Yatin A']",12,25
EECS 598,TuTh1:30PM-3:00PM,"['Saranurak, Thatchaphol']",8,25
EECS 598,TuTh2:30PM-4:00PM,"['Liu, Jie', 'Welch, Joshua']",5,14
EECS 598,TuTh2:30PM-4:00PM,"['Welch, Joshua']",0,0
EECS 598,TuTh3:00PM-4:30PM,"['Banovic, Nikola', 'Ramesh, Divya']",45,40
EECS 598,TuTh3:00PM-4:30PM,"['Banovic, Nikola']",1,0
EECS 598,TuTh3:00PM-4:30PM,"['Wang, Xinyu', 'Zhu, Yuanli']",7,25
EECS 598,TuTh3:00PM-4:30PM,"['Wang, Xinyu']",0,0
EECS 598,We4:30PM-5:30PM,"['Hofmann, Heath', 'Liu, Mingyan']",53,80
EECS 644,MoWe10:00AM-11:30AM,"['Polk, Thad']",14,12
ENGR 101,TBATBA,"['Alford, Laura']",542,532
ENGR 101,TBATBA,"['Burdick, Laura']",182,180
ENGR 151,TuTh12:00PM-1:30PM,"['Thomas, Alexander George Roy']",205,220
