,title,link,class_name,type,credits,seat_capacity,filled_seats
120,CS 2050 Recitation - 93606 - CS 2050R - B01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93606,CS 2050,Recitation,0.000,50,50
121,CS 2050 Recitation - 93607 - CS 2050R - B02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93607,CS 2050,Recitation,0.000,50,6
122,CS 2050 Recitation - 93608 - CS 2050R - B03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93608,CS 2050,Recitation,0.000,50,50
123,CS 2050 Recitation - 93609 - CS 2050R - B04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93609,CS 2050,Recitation,0.000,50,41
124,CS 2050 Recitation - 95108 - CS 2050R - B05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=95108,CS 2050,Recitation,0.000,50,47
125,CS 2050 Recitation - 93602 - CS 2050R - GR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93602,CS 2050,Recitation,0.000,5,1
126,Honors Discrete Math CS - 93824 - CS 2051 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93824,CS 2051,Lecture,3.000,50,50
127,Computer Organiz&Program - 83474 - CS 2110 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=83474,CS 2110,Lecture,4.000,200,200
128,Computer Organiz&Program - 90465 - CS 2110 - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90465,CS 2110,Laboratory,0.000,50,50
129,Computer Organiz&Program - 90466 - CS 2110 - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90466,CS 2110,Laboratory,0.000,50,50
130,Computer Organiz&Program - 90467 - CS 2110 - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90467,CS 2110,Laboratory,0.000,50,50
131,Computer Organiz&Program - 90468 - CS 2110 - A04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90468,CS 2110,Laboratory,0.000,50,50
132,Computer Organiz&Program - 81564 - CS 2110 - B,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=81564,CS 2110,Lecture,4.000,250,250
133,Computer Organiz&Program - 93747 - CS 2110 - B01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93747,CS 2110,Laboratory,0.000,50,50
134,Computer Organiz&Program - 90470 - CS 2110 - B02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90470,CS 2110,Laboratory,0.000,50,50
135,Computer Organiz&Program - 90471 - CS 2110 - B03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90471,CS 2110,Laboratory,0.000,50,50
136,Computer Organiz&Program - 90472 - CS 2110 - B04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90472,CS 2110,Laboratory,0.000,50,50
137,Computer Organiz&Program - 90473 - CS 2110 - B05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90473,CS 2110,Laboratory,0.000,50,50
138,Computer Organiz&Program - 90778 - CS 2110 - C,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90778,CS 2110,Lecture,4.000,150,151
139,Computer Organiz&Program - 90779 - CS 2110 - C01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90779,CS 2110,Laboratory,0.000,50,50
140,Computer Organiz&Program - 90781 - CS 2110 - C02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90781,CS 2110,Laboratory,0.000,50,51
141,Computer Organiz&Program - 90784 - CS 2110 - C03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90784,CS 2110,Laboratory,0.000,50,50
142,Computer Organiz&Program - 90559 - CS 2110 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90559,CS 2110,Lecture,4.000,5,2
143,Computer Organiz&Program - 90560 - CS 2110 - GR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90560,CS 2110,Laboratory,0.000,5,2
144,Systems and Networks - 80219 - CS 2200 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=80219,CS 2200,Lecture,4.000,300,143
145,Systems and Networks - 90673 - CS 2200 - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90673,CS 2200,Laboratory,0.000,50,42
146,Systems and Networks - 94242 - CS 2200 - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94242,CS 2200,Laboratory,0.000,50,48
147,Systems and Networks - 94243 - CS 2200 - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94243,CS 2200,Laboratory,0.000,50,36
148,Systems and Networks - 94244 - CS 2200 - A04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94244,CS 2200,Laboratory,0.000,50,12
149,Systems and Networks - 94245 - CS 2200 - A05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94245,CS 2200,Laboratory,0.000,50,1
150,Systems and Networks - 94253 - CS 2200 - A06,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94253,CS 2200,Laboratory,0.000,50,4
151,Systems and Networks - 93827 - CS 2200 - B,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93827,CS 2200,Lecture,4.000,195,188
152,Systems and Networks - 93828 - CS 2200 - B01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93828,CS 2200,Laboratory,0.000,45,45
153,Systems and Networks - 94246 - CS 2200 - B02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94246,CS 2200,Laboratory,0.000,50,49
154,Systems and Networks - 94247 - CS 2200 - B03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94247,CS 2200,Laboratory,0.000,50,50
155,Systems and Networks - 94254 - CS 2200 - B04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94254,CS 2200,Laboratory,0.000,50,44
156,Systems and Networks - 81002 - CS 2200 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=81002,CS 2200,Lecture,4.000,5,2
157,Systems and Networks - 90674 - CS 2200 - GR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90674,CS 2200,Laboratory,0.000,5,2
158,Media Device Architectur - 82525 - CS 2261 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=82525,CS 2261,Lecture,4.000,75,64
159,Media Device Architectur - 90474 - CS 2261 - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90474,CS 2261,Laboratory,0.000,75,64
160,Data Input/Manipulation - 84160 - CS 2316 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=84160,CS 2316,Lecture,3.000,200,190
161,Data Input/Manipulation - 85980 - CS 2316 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=85980,CS 2316,Lecture,3.000,5,2
162,CS 2316 Recitation - 93610 - CS 2316R - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93610,CS 2316,Recitation,0.000,50,48
163,CS 2316 Recitation - 93611 - CS 2316R - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93611,CS 2316,Recitation,0.000,50,49
164,CS 2316 Recitation - 93612 - CS 2316R - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93612,CS 2316,Recitation,0.000,50,48
